Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
1,"Thursday, Mar 30",boxscore,BAL,@,BOS,W,10,9,,1-0,1,Tied,Gibson,Kluber,Bautista,3:10,D,36049,1.01,+,,AL East,AL
2,"Saturday, Apr 1",boxscore,BAL,@,BOS,L-wo,8,9,,1-1,2,1.0,Jansen,Bautista,,3:04,D,29062,1.03,-,,AL East,AL
3,"Sunday, Apr 2",boxscore,BAL,@,BOS,L,5,9,,1-2,4,2.0,Houck,Irvin,,2:44,D,27886,1.00,--,,AL East,AL
4,"Monday, Apr 3",boxscore,BAL,@,TEX,W,2,0,,2-2,3,2.0,Coulombe,Gray,Bautista,2:18,N,15867,.91,+,,AL East,AL
5,"Tuesday, Apr 4",boxscore,BAL,@,TEX,W,7,2,,3-2,2,2.0,Gibson,Heaney,,2:30,N,16268,.93,++,,AL East,AL
6,"Wednesday, Apr 5",boxscore,BAL,@,TEX,L,2,5,,3-3,3,3.0,deGrom,Voth,Leclerc,2:19,D,18560,1.01,-,,AL East,AL
7,"Friday, Apr 7",boxscore,BAL,,NYY,W,7,6,,4-3,3,3.0,Pérez,Marinaccio,Bautista,3:04,D,45017,.99,+,,AL East,AL
8,"Saturday, Apr 8",boxscore,BAL,,NYY,L,1,4,,4-4,4,4.0,Brito,Irvin,Holmes,2:47,N,30561,1.05,-,,AL East,AL
9,"Sunday, Apr 9",boxscore,BAL,,NYY,L,3,5,,4-5,5,5.0,Cortes,Wells,Holmes,2:28,D,29221,.96,--,,AL East,AL
10,"Monday, Apr 10",boxscore,BAL,,OAK,W,5,1,,5-5,4,5.0,Gibson,Sears,,2:48,N,9322,.84,+,,AL East,AL
11,"Tuesday, Apr 11",boxscore,BAL,,OAK,W,12,8,,6-5,4,5.0,Baker,Moll,,3:08,N,12305,.89,++,,AL East,AL
12,"Wednesday, Apr 12",boxscore,BAL,,OAK,L,4,8,,6-6,4,6.0,Smith,Akin,,2:50,N,10181,.90,-,,AL East,AL
13,"Thursday, Apr 13",boxscore,BAL,,OAK,W-wo,8,7,,7-6,4,6.0,Bautista,May,,2:58,D,11665,.87,+,,AL East,AL
14,"Friday, Apr 14",boxscore,BAL,@,CHW,W,6,3,,8-6,3,5.0,Baumann,López,Bautista,2:58,N,18941,.91,++,,AL East,AL
15,"Saturday, Apr 15",boxscore,BAL,@,CHW,L-wo,6,7,10,8-7,4,5.0,Lambert,Gillaspie,,3:21,D,32091,.97,-,,AL East,AL
16,"Sunday, Apr 16",boxscore,BAL,@,CHW,W,8,4,,9-7,4,5.0,Baumann,Bummer,,2:46,D,13794,.93,+,,AL East,AL
17,"Tuesday, Apr 18",boxscore,BAL,@,WSN,W,1,0,,10-7,3,4.5,Kremer,Gray,Bautista,2:34,N,18747,.91,++,,AL East,AL
18,"Wednesday, Apr 19",boxscore,BAL,@,WSN,W,4,0,,11-7,2,4.5,Bradish,Gore,,2:26,N,22598,.93,+++,,AL East,AL
19,"Friday, Apr 21",boxscore,BAL,,DET,W-wo,2,1,,12-7,2,4.5,Bautista,Foley,,2:25,N,18772,1.03,++++,,AL East,AL
20,"Saturday, Apr 22",boxscore,BAL,,DET,W,5,1,,13-7,2,4.5,Gibson,Wentz,,2:15,N,12194,1.03,+++++,,AL East,AL
21,"Sunday, Apr 23",boxscore,BAL,,DET,W-wo,2,1,10,14-7,2,4.5,Akin,Englert,,2:44,D,36975,1.05,++++++,,AL East,AL
22,"Monday, Apr 24",boxscore,BAL,,BOS,W,5,4,,15-7,2,4.5,Kremer,Sale,Cano,2:29,N,11811,1.12,+++++++,,AL East,AL
23,"Tuesday, Apr 25",boxscore,BAL,,BOS,L,6,8,,15-8,2,4.5,Kluber,Bradish,Jansen,2:44,N,14343,1.11,-,,AL East,AL
24,"Wednesday, Apr 26",boxscore,BAL,,BOS,W,6,2,,16-8,2,3.5,Wells,Houck,,2:37,D,12044,1.13,+,,AL East,AL
25,"Thursday, Apr 27",boxscore,BAL,@,DET,W,7,4,,17-8,2,3.5,Baker,Shreve,Bautista,3:16,N,11599,1.12,++,,AL East,AL
26,"Saturday, Apr 29 (1)",boxscore,BAL,@,DET,L,4,7,,17-9,2,4.5,Rodriguez,Kremer,Lange,2:41,D,17974,1.11,-,,AL East,AL
27,"Saturday, Apr 29 (2)",boxscore,BAL,@,DET,W,6,4,,18-9,2,4.5,Rodriguez,Boyd,Bautista,2:41,N,11048,1.06,+,,AL East,AL
28,"Sunday, Apr 30",boxscore,BAL,@,DET,W,5,3,,19-9,2,3.5,Voth,Turnbull,Cano,2:46,D,13626,1.05,++,,AL East,AL
29,"Tuesday, May 2",boxscore,BAL,@,KCR,W,11,7,,20-9,2,3.5,Wells,Yarbrough,,3:04,N,10487,1.06,+++,,AL East,AL
30,"Wednesday, May 3",boxscore,BAL,@,KCR,L,0,6,,20-10,2,4.5,Greinke,Gibson,,1:59,N,10362,1.08,-,,AL East,AL
31,"Thursday, May 4",boxscore,BAL,@,KCR,W,13,10,,21-10,2,4.5,Cano,Chapman,,3:24,D,11514,1.05,+,,AL East,AL
32,"Friday, May 5",boxscore,BAL,@,ATL,W,9,4,,22-10,2,4.5,Kremer,Fried,,2:45,N,40176,1.09,++,,AL East,AL
33,"Saturday, May 6",boxscore,BAL,@,ATL,L,4,5,,22-11,2,4.5,Minter,Coulombe,Iglesias,2:52,N,41454,1.04,-,,AL East,AL
34,"Sunday, May 7",boxscore,BAL,@,ATL,L-wo,2,3,12,22-12,2,5.5,Tonkin,Pérez,,3:29,D,40800,1.05,--,,AL East,AL
35,"Monday, May 8",boxscore,BAL,,TBR,L,0,3,,22-13,2,6.5,McClanahan,Gibson,Adam,2:35,N,12669,1.29,---,,AL East,AL
36,"Tuesday, May 9",boxscore,BAL,,TBR,W,4,2,,23-13,2,5.5,Rodriguez,Eflin,Bautista,2:22,N,10017,1.24,+,,AL East,AL
37,"Wednesday, May 10",boxscore,BAL,,TBR,W,2,1,,24-13,2,4.5,Kremer,Chirinos,Cano,2:23,N,14395,1.29,++,,AL East,AL
38,"Friday, May 12",boxscore,BAL,,PIT,W,6,3,,25-13,2,4.0,Baker,Hernandez,Bautista,2:47,N,25682,1.04,+++,,AL East,AL
39,"Saturday, May 13",boxscore,BAL,,PIT,W,2,0,,26-13,2,3.0,Wells,Contreras,Bautista,2:04,N,21926,1.10,++++,,AL East,AL
40,"Sunday, May 14",boxscore,BAL,,PIT,L,0,4,,26-14,2,4.0,Keller,Gibson,,2:37,D,36403,1.09,-,,AL East,AL
41,"Monday, May 15",boxscore,BAL,,LAA,L,5,9,,26-15,2,4.5,Ohtani,Rodriguez,,2:51,N,20148,1.09,--,,AL East,AL
42,"Tuesday, May 16",boxscore,BAL,,LAA,W,7,3,,27-15,2,4.5,Kremer,Silseth,,2:35,N,13244,1.13,+,,AL East,AL
43,"Wednesday, May 17",boxscore,BAL,,LAA,W,3,1,,28-15,2,3.5,Bradish,Canning,Bautista,2:30,N,15702,1.14,++,,AL East,AL
44,"Thursday, May 18",boxscore,BAL,,LAA,L,5,6,,28-16,2,3.5,Devenski,Baker,Estévez,3:05,D,27778,1.13,-,,AL East,AL
45,"Friday, May 19",boxscore,BAL,@,TOR,W,6,2,,29-16,2,3.5,Gibson,Kikuchi,,2:49,N,32485,1.27,+,,AL East,AL
46,"Saturday, May 20",boxscore,BAL,@,TOR,W,6,5,10,30-16,2,3.5,Bautista,García,,3:32,D,41611,1.25,++,,AL East,AL
47,"Sunday, May 21",boxscore,BAL,@,TOR,W,8,3,11,31-16,2,2.5,Baumann,García,,3:31,D,41643,1.19,+++,,AL East,AL
48,"Tuesday, May 23",boxscore,BAL,@,NYY,L-wo,5,6,10,31-17,2,3.0,King,Baker,,3:05,N,40652,1.29,-,,AL East,AL
49,"Wednesday, May 24",boxscore,BAL,@,NYY,W,9,6,,32-17,2,3.0,Baumann,Cordero,Bautista,2:46,N,39455,1.32,+,,AL East,AL
50,"Thursday, May 25",boxscore,BAL,@,NYY,W,3,1,,33-17,2,3.0,Gibson,Schmidt,Cano,2:53,N,41520,1.26,++,,AL East,AL
51,"Friday, May 26",boxscore,BAL,,TEX,L,2,12,,33-18,2,4.0,Gray,Rodriguez,,2:36,N,20293,1.18,-,,AL East,AL
52,"Saturday, May 27",boxscore,BAL,,TEX,L,3,5,,33-19,2,4.0,Heaney,Kremer,,2:28,D,37939,1.18,--,,AL East,AL
53,"Sunday, May 28",boxscore,BAL,,TEX,W,3,2,,34-19,2,4.0,Coulombe,Ragans,Bautista,2:30,D,25124,1.19,+,,AL East,AL
54,"Monday, May 29",boxscore,BAL,,CLE,L,0,5,,34-20,2,4.0,Allen,Wells,,2:19,D,25249,1.12,-,,AL East,AL
55,"Tuesday, May 30",boxscore,BAL,,CLE,W,8,5,,35-20,2,3.0,Gibson,Quantrill,Bautista,2:44,N,11709,1.13,+,,AL East,AL
56,"Wednesday, May 31",boxscore,BAL,,CLE,L,8,12,,35-21,2,4.0,Curry,Givens,,3:11,D,11304,1.16,-,,AL East,AL
57,"Friday, Jun 2",boxscore,BAL,@,SFG,W,3,2,,36-21,2,3.5,Kremer,Webb,Bautista,2:29,N,27873,1.11,+,,AL East,AL
58,"Saturday, Jun 3",boxscore,BAL,@,SFG,L,0,4,,36-22,2,4.0,Cobb,Bradish,,2:35,N,32416,1.18,-,,AL East,AL
59,"Sunday, Jun 4",boxscore,BAL,@,SFG,W,8,3,,37-22,2,4.0,Wells,DeSclafani,,2:37,D,35571,1.16,+,,AL East,AL
60,"Tuesday, Jun 6",boxscore,BAL,@,MIL,L-wo,3,4,10,37-23,2,5.5,Strzelecki,Voth,,3:20,N,22535,1.10,-,,AL East,AL
61,"Wednesday, Jun 7",boxscore,BAL,@,MIL,L,2,10,,37-24,2,6.5,Burnes,Kremer,,2:31,N,22320,1.05,--,,AL East,AL
62,"Thursday, Jun 8",boxscore,BAL,@,MIL,W,6,3,,38-24,2,6.5,Akin,Strzelecki,Bautista,2:43,D,27318,1.06,+,,AL East,AL
63,"Friday, Jun 9",boxscore,BAL,,KCR,W,3,2,,39-24,2,6.5,Wells,Lynch,Bautista,2:29,N,18076,1.03,++,,AL East,AL
64,"Saturday, Jun 10",boxscore,BAL,,KCR,W,6,1,,40-24,2,5.5,Irvin,Singer,,2:51,D,34136,1.04,+++,,AL East,AL
65,"Sunday, Jun 11",boxscore,BAL,,KCR,W,11,3,,41-24,2,5.5,Gibson,Mayers,,2:36,D,23255,1.04,++++,,AL East,AL
66,"Tuesday, Jun 13",boxscore,BAL,,TOR,W,11,6,,42-24,2,4.0,Kremer,Bassitt,,3:10,N,16018,1.15,+++++,,AL East,AL
67,"Wednesday, Jun 14",boxscore,BAL,,TOR,L,1,3,,42-25,2,5.0,Berríos,Bradish,Romano,2:35,N,16083,1.19,-,,AL East,AL
68,"Thursday, Jun 15",boxscore,BAL,,TOR,W,4,2,,43-25,2,5.0,Wells,García,Bautista,2:45,D,22555,1.16,+,,AL East,AL
69,"Friday, Jun 16",boxscore,BAL,@,CHC,L,3,10,,43-26,2,6.0,Hendricks,Irvin,,2:46,D,37515,1.04,-,,AL East,AL
70,"Saturday, Jun 17",boxscore,BAL,@,CHC,L,2,3,,43-27,2,6.0,Steele,Gibson,Alzolay,2:32,D,40605,1.00,--,,AL East,AL
71,"Sunday, Jun 18",boxscore,BAL,@,CHC,W,6,3,,44-27,2,5.0,Kremer,Taillon,Bautista,2:46,D,40121,1.02,+,,AL East,AL
72,"Tuesday, Jun 20",boxscore,BAL,@,TBR,W,8,6,,45-27,2,4.0,Bradish,Glasnow,Bautista,3:11,N,20906,1.49,++,,AL East,AL
73,"Wednesday, Jun 21",boxscore,BAL,@,TBR,L,2,7,,45-28,2,5.0,Bradley,Wells,,2:35,D,19493,1.50,-,,AL East,AL
74,"Friday, Jun 23",boxscore,BAL,,SEA,L,1,13,,45-29,2,5.5,Gilbert,Gibson,,2:56,N,16234,1.12,--,,AL East,AL
75,"Saturday, Jun 24",boxscore,BAL,,SEA,W-wo,6,4,10,46-29,2,4.5,Baumann,Topa,,3:14,D,32884,1.11,+,,AL East,AL
76,"Sunday, Jun 25",boxscore,BAL,,SEA,W,3,2,,47-29,2,4.5,Bradish,Kirby,Bautista,2:21,D,19143,1.12,++,,AL East,AL
77,"Monday, Jun 26",boxscore,BAL,,CIN,W,10,3,,48-29,2,4.0,Zimmermann,Williamson,,2:57,N,13077,1.05,+++,,AL East,AL
78,"Tuesday, Jun 27",boxscore,BAL,,CIN,L,1,3,,48-30,2,4.0,Abbott,Wells,Díaz,2:40,N,14057,1.04,-,,AL East,AL
79,"Wednesday, Jun 28",boxscore,BAL,,CIN,L,7,11,10,48-31,2,5.0,Díaz,Akin,,3:54,N,21152,1.08,--,,AL East,AL
80,"Friday, Jun 30",boxscore,BAL,,MIN,L,1,8,,48-32,2,6.5,López,Kremer,,2:50,N,34792,1.03,---,,AL East,AL
81,"Saturday, Jul 1",boxscore,BAL,,MIN,L,0,1,,48-33,2,6.5,Ober,Bradish,Duran,2:20,D,40012,1.03,----,,AL East,AL
82,"Sunday, Jul 2",boxscore,BAL,,MIN,W,2,1,,49-33,2,5.5,Pérez,Duran,Bautista,2:40,D,16299,1.03,+,,AL East,AL
83,"Monday, Jul 3",boxscore,BAL,@,NYY,L,3,6,,49-34,2,6.0,Kahnle,Cano,Holmes,2:49,N,46015,1.17,-,,AL East,AL
84,"Tuesday, Jul 4",boxscore,BAL,@,NYY,L,4,8,,49-35,2,6.0,Schmidt,Gibson,,2:52,D,43876,1.25,--,,AL East,AL
85,"Wednesday, Jul 5",boxscore,BAL,@,NYY,W,6,3,,50-35,2,5.0,Kremer,Ramirez,Bautista,2:42,N,36022,1.31,+,,AL East,AL
86,"Thursday, Jul 6",boxscore,BAL,@,NYY,W,14,1,,51-35,2,4.0,Bradish,Severino,,3:09,N,39766,1.30,++,,AL East,AL
87,"Friday, Jul 7",boxscore,BAL,@,MIN,W,3,1,10,52-35,2,3.0,Bautista,Duran,,2:56,N,32724,1.15,+++,,AL East,AL
88,"Saturday, Jul 8",boxscore,BAL,@,MIN,W,6,2,,53-35,2,2.0,Wells,Gray,,2:27,D,27617,1.18,++++,,AL East,AL
89,"Sunday, Jul 9",boxscore,BAL,@,MIN,W,15,2,,54-35,2,2.0,Gibson,Ryan,,2:57,D,27100,1.18,+++++,,AL East,AL
90,"Friday, Jul 14",boxscore,BAL,,MIA,W,5,2,,55-35,2,1.5,Kremer,Alcantara,Bautista,2:33,N,23377,1.15,++++++,,AL East,AL
91,"Saturday, Jul 15",boxscore,BAL,,MIA,W,6,5,,56-35,2,2.0,Baumann,Brazoban,Bautista,2:55,N,28593,1.14,+++++++,,AL East,AL
92,"Sunday, Jul 16",boxscore,BAL,,MIA,W,5,4,,57-35,2,1.0,Bradish,Okert,Coulombe,2:44,D,30761,1.11,++++++++,,AL East,AL
93,"Monday, Jul 17",boxscore,BAL,,LAD,L,4,6,,57-36,2,1.0,Sheehan,Baker,Brasier,2:51,N,21956,1.09,-,,AL East,AL
94,"Tuesday, Jul 18",boxscore,BAL,,LAD,L,3,10,,57-37,2,1.0,Grove,Wells,,3:18,N,22775,1.16,--,,AL East,AL
95,"Wednesday, Jul 19",boxscore,BAL,,LAD,W,8,5,,58-37,1,Tied,Coulombe,Urías,Bautista,2:37,D,22248,1.17,+,,AL East,AL
96,"Thursday, Jul 20",boxscore,BAL,@,TBR,W,4,3,10,59-37,1,up 1.0,Bautista,Stephenson,,2:49,N,20203,1.69,++,,AL East,AL
97,"Friday, Jul 21",boxscore,BAL,@,TBR,L,0,3,,59-38,1,Tied,Eflin,Bradish,Fairbanks,2:09,N,19703,1.67,-,,AL East,AL
98,"Saturday, Jul 22",boxscore,BAL,@,TBR,W,6,5,,60-38,1,up 1.0,Pérez,Fairbanks,Bautista,2:56,D,25025,1.75,+,,AL East,AL
99,"Sunday, Jul 23",boxscore,BAL,@,TBR,W,5,3,,61-38,1,up 2.0,Baumann,Poche,Bautista,2:48,D,23440,1.70,++,,AL East,AL
100,"Monday, Jul 24",boxscore,BAL,@,PHI,W,3,2,,62-38,1,up 2.5,Baker,Kimbrel,Pérez,2:41,N,44043,1.08,+++,,AL East,AL
101,"Tuesday, Jul 25",boxscore,BAL,@,PHI,L-wo,3,4,,62-39,1,up 1.5,Marte,Cano,,2:48,N,37200,1.07,-,,AL East,AL
102,"Wednesday, Jul 26",boxscore,BAL,@,PHI,L,4,6,,62-40,1,up 1.5,Domínguez,Bradish,Soto,2:21,N,40235,1.12,--,,AL East,AL
1,"Thursday, Mar 30",boxscore,TBR,,DET,W,4,0,,1-0,1,Tied,McClanahan,Rodriguez,,2:14,D,25025,.95,+,,AL East,AL
2,"Saturday, Apr 1",boxscore,TBR,,DET,W,12,2,,2-0,1,up 1.0,Eflin,Turnbull,,2:48,D,20204,.99,++,,AL East,AL
3,"Sunday, Apr 2",boxscore,TBR,,DET,W,5,1,,3-0,1,up 1.0,Springs,Wentz,,2:10,D,19425,1.03,+++,,AL East,AL
4,"Monday, Apr 3",boxscore,TBR,@,WSN,W,6,2,,4-0,1,up 1.0,Rasmussen,Williams,,2:25,N,10754,1.03,++++,,AL East,AL
5,"Tuesday, Apr 4",boxscore,TBR,@,WSN,W,10,6,,5-0,1,up 2.0,Thompson,Finnegan,,2:45,N,15272,1.00,+++++,,AL East,AL
6,"Wednesday, Apr 5",boxscore,TBR,@,WSN,W,7,2,,6-0,1,up 2.0,McClanahan,Corbin,,2:32,D,13836,1.06,++++++,,AL East,AL
7,"Friday, Apr 7",boxscore,TBR,,OAK,W,9,5,,7-0,1,up 2.5,Eflin,Waldichuk,,2:23,N,15980,1.15,+++++++,,AL East,AL
8,"Saturday, Apr 8",boxscore,TBR,,OAK,W,11,0,,8-0,1,up 3.0,Springs,Fujinami,,2:20,D,15880,1.13,++++++++,,AL East,AL
9,"Sunday, Apr 9",boxscore,TBR,,OAK,W,11,0,,9-0,1,up 3.0,Rasmussen,Kaprielian,,2:39,D,11159,1.14,+++++++++,,AL East,AL
10,"Monday, Apr 10",boxscore,TBR,,BOS,W,1,0,,10-0,1,up 4.0,Poche,Martin,Fairbanks,2:06,N,13470,1.22,++++++++++,,AL East,AL
11,"Tuesday, Apr 11",boxscore,TBR,,BOS,W,7,2,,11-0,1,up 4.0,McClanahan,Whitlock,,2:35,N,12649,1.28,+++++++++++,,AL East,AL
12,"Wednesday, Apr 12",boxscore,TBR,,BOS,W,9,7,,12-0,1,up 4.0,Bradley,Sale,Fairbanks,2:44,N,17136,1.20,++++++++++++,,AL East,AL
13,"Thursday, Apr 13",boxscore,TBR,,BOS,W,9,3,,13-0,1,up 5.0,Kelly,Kluber,Bristo,2:38,D,21175,1.22,+++++++++++++,,AL East,AL
14,"Friday, Apr 14",boxscore,TBR,@,TOR,L,3,6,,13-1,1,up 4.0,Berríos,Rasmussen,Romano,2:37,N,34822,1.25,-,,AL East,AL
15,"Saturday, Apr 15",boxscore,TBR,@,TOR,L,2,5,,13-2,1,up 3.0,Kikuchi,Kelley,Romano,2:34,D,41679,1.32,--,,AL East,AL
16,"Sunday, Apr 16",boxscore,TBR,@,TOR,W,8,1,,14-2,1,up 4.0,McClanahan,Manoah,,2:40,D,39179,1.32,+,,AL East,AL
17,"Monday, Apr 17",boxscore,TBR,@,CIN,L,1,8,,14-3,1,up 3.5,Gibaut,Beeks,,2:28,N,7375,1.11,-,,AL East,AL
18,"Tuesday, Apr 18",boxscore,TBR,@,CIN,W,10,0,,15-3,1,up 4.0,Bradley,Lodolo,,2:25,N,11304,1.11,+,,AL East,AL
19,"Wednesday, Apr 19",boxscore,TBR,@,CIN,W,8,0,,16-3,1,up 4.5,Rasmussen,Stoudt,,2:25,D,10205,1.09,++,,AL East,AL
20,"Friday, Apr 21",boxscore,TBR,,CHW,W-wo,8,7,,17-3,1,up 4.5,Kelly,López,,2:51,N,17973,1.14,+++,,AL East,AL
21,"Saturday, Apr 22",boxscore,TBR,,CHW,W-wo,4,3,10,18-3,1,up 4.5,Cleavinger,Lambert,,2:53,D,22333,1.14,++++,,AL East,AL
22,"Sunday, Apr 23",boxscore,TBR,,CHW,W,4,1,,19-3,1,up 4.5,Eflin,Giolito,Fairbanks,2:02,D,22702,1.10,+++++,,AL East,AL
23,"Monday, Apr 24",boxscore,TBR,,HOU,W,8,3,,20-3,1,up 4.5,Bradley,Urquidy,,2:46,N,10611,1.13,++++++,,AL East,AL
24,"Tuesday, Apr 25",boxscore,TBR,,HOU,L,0,5,,20-4,1,up 4.5,Garcia,Rasmussen,,2:44,N,9916,1.07,-,,AL East,AL
25,"Wednesday, Apr 26",boxscore,TBR,,HOU,L,0,1,,20-5,1,up 3.5,Brown,Faucher,Pressly,2:07,N,14168,1.11,--,,AL East,AL
26,"Thursday, Apr 27",boxscore,TBR,@,CHW,W,14,5,,21-5,1,up 3.5,McClanahan,Cease,,2:44,N,11060,1.12,+,,AL East,AL
27,"Friday, Apr 28",boxscore,TBR,@,CHW,W,3,2,,22-5,1,up 4.0,Poche,Graveman,Kelly,2:36,N,16681,1.06,++,,AL East,AL
28,"Saturday, Apr 29",boxscore,TBR,@,CHW,W,12,3,,23-5,1,up 4.5,Chirinos,Lynn,,2:53,N,28462,1.05,+++,,AL East,AL
29,"Sunday, Apr 30",boxscore,TBR,@,CHW,L-wo,9,12,,23-6,1,up 3.5,Bummer,Beeks,,3:24,D,17049,1.00,-,,AL East,AL
30,"Tuesday, May 2",boxscore,TBR,,PIT,W,4,1,,24-6,1,up 3.5,Poche,Contreras,Adam,2:45,N,10325,1.05,+,,AL East,AL
31,"Wednesday, May 3",boxscore,TBR,,PIT,W,8,1,,25-6,1,up 4.5,McClanahan,Keller,Anderson,2:22,N,15247,1.04,++,,AL East,AL
32,"Thursday, May 4",boxscore,TBR,,PIT,W,3,2,,26-6,1,up 4.5,Eflin,Velasquez,Adam,2:14,D,12418,1.00,+++,,AL East,AL
33,"Friday, May 5",boxscore,TBR,,NYY,W,5,4,,27-6,1,up 4.5,Kelly,Cordero,Adam,2:37,N,25007,1.10,++++,,AL East,AL
34,"Saturday, May 6",boxscore,TBR,,NYY,L,2,3,,27-7,1,up 4.5,Marinaccio,Kelly,Hamilton,2:44,D,27078,1.08,-,,AL East,AL
35,"Sunday, May 7",boxscore,TBR,,NYY,W-wo,8,7,10,28-7,1,up 5.5,Beeks,Abreu,,3:16,D,32142,1.15,+,,AL East,AL
36,"Monday, May 8",boxscore,TBR,@,BAL,W,3,0,,29-7,1,up 6.5,McClanahan,Gibson,Adam,2:35,N,12669,1.22,++,,AL East,AL
37,"Tuesday, May 9",boxscore,TBR,@,BAL,L,2,4,,29-8,1,up 5.5,Rodriguez,Eflin,Bautista,2:22,N,10017,1.16,-,,AL East,AL
38,"Wednesday, May 10",boxscore,TBR,@,BAL,L,1,2,,29-9,1,up 4.5,Kremer,Chirinos,Cano,2:23,N,14395,1.20,--,,AL East,AL
39,"Thursday, May 11",boxscore,TBR,@,NYY,W,8,2,,30-9,1,up 5.0,Rasmussen,Germán,,2:30,N,37686,1.14,+,,AL East,AL
40,"Friday, May 12",boxscore,TBR,@,NYY,L,5,6,,30-10,1,up 4.0,Holmes,Adam,Peralta,2:36,N,46130,1.10,-,,AL East,AL
41,"Saturday, May 13",boxscore,TBR,@,NYY,L,8,9,,30-11,1,up 3.0,Cordero,Thompson,Peralta,3:09,D,44714,1.20,--,,AL East,AL
42,"Sunday, May 14",boxscore,TBR,@,NYY,W,8,7,,31-11,1,up 4.0,Eflin,Schmidt,Adam,2:51,D,42116,1.17,+,,AL East,AL
43,"Tuesday, May 16",boxscore,TBR,@,NYM,W,8,5,,32-11,1,up 4.5,Chirinos,Verlander,,2:49,N,28296,1.05,++,,AL East,AL
44,"Wednesday, May 17",boxscore,TBR,@,NYM,L-wo,7,8,10,32-12,1,up 3.5,Robertson,Fairbanks,,3:11,N,29695,.99,-,,AL East,AL
45,"Thursday, May 18",boxscore,TBR,@,NYM,L,2,3,,32-13,1,up 3.5,Megill,Littell,Robertson,2:22,D,29946,1.01,--,,AL East,AL
46,"Friday, May 19",boxscore,TBR,,MIL,W,1,0,,33-13,1,up 3.5,Adam,Strzelecki,Fairbanks,2:06,N,18961,1.06,+,,AL East,AL
47,"Saturday, May 20",boxscore,TBR,,MIL,W,8,4,,34-13,1,up 3.5,Eflin,Lauer,Adam,2:39,D,19954,1.05,++,,AL East,AL
48,"Sunday, May 21",boxscore,TBR,,MIL,L,4,6,,34-14,1,up 2.5,Peralta,Criswell,Williams,2:44,D,20193,1.02,-,,AL East,AL
49,"Monday, May 22",boxscore,TBR,,TOR,W,6,4,,35-14,1,up 3.0,Fleming,Bassitt,Fairbanks,2:32,N,8857,1.19,+,,AL East,AL
50,"Tuesday, May 23",boxscore,TBR,,TOR,L,1,20,,35-15,1,up 3.0,Berríos,Bradley,,2:31,N,11906,1.15,-,,AL East,AL
51,"Wednesday, May 24",boxscore,TBR,,TOR,W,7,3,,36-15,1,up 3.0,McClanahan,Kikuchi,,2:25,N,8699,1.20,+,,AL East,AL
52,"Thursday, May 25",boxscore,TBR,,TOR,W,6,3,,37-15,1,up 3.0,Eflin,Manoah,Poche,2:36,D,10736,1.14,++,,AL East,AL
53,"Friday, May 26",boxscore,TBR,,LAD,W,9,3,,38-15,1,up 4.0,Criswell,Syndergaard,,2:45,N,19715,.99,+++,,AL East,AL
54,"Saturday, May 27",boxscore,TBR,,LAD,L,5,6,,38-16,1,up 4.0,Almonte,Poche,Ferguson,2:46,D,23443,1.01,-,,AL East,AL
55,"Sunday, May 28",boxscore,TBR,,LAD,W,11,10,,39-16,1,up 4.0,Beeks,González,Adam,2:53,D,21043,1.00,+,,AL East,AL
56,"Monday, May 29",boxscore,TBR,@,CHC,L,0,1,,39-17,1,up 4.0,Stroman,Bradley,,2:05,D,38163,.99,-,,AL East,AL
57,"Tuesday, May 30",boxscore,TBR,@,CHC,L,1,2,,39-18,1,up 3.0,Merryweather,McClanahan,Alzolay,2:20,N,31762,1.06,--,,AL East,AL
58,"Wednesday, May 31",boxscore,TBR,@,CHC,W,4,3,,40-18,1,up 4.0,Poche,Leiter,Beeks,2:53,D,29360,1.07,+,,AL East,AL
59,"Saturday, Jun 3 (1)",boxscore,TBR,@,BOS,L,5,8,,40-19,1,up 4.0,Kluber,Beeks,Jansen,2:55,D,31303,1.13,-,,AL East,AL
60,"Saturday, Jun 3 (2)",boxscore,TBR,@,BOS,W,4,2,,41-19,1,up 4.0,Faucher,Jansen,Adam,3:02,N,30784,1.17,+,,AL East,AL
61,"Sunday, Jun 4",boxscore,TBR,@,BOS,W,6,2,,42-19,1,up 4.0,Bradley,Houck,,2:37,D,34192,1.10,++,,AL East,AL
62,"Monday, Jun 5",boxscore,TBR,@,BOS,W,4,1,,43-19,1,up 4.5,McClanahan,Bello,Adam,2:35,D,30860,1.04,+++,,AL East,AL
63,"Tuesday, Jun 6",boxscore,TBR,,MIN,W,7,0,,44-19,1,up 5.5,Eflin,Varland,,2:07,N,14689,.99,++++,,AL East,AL
64,"Wednesday, Jun 7",boxscore,TBR,,MIN,W-wo,2,1,,45-19,1,up 6.5,Adam,Duran,,2:17,N,10846,.91,+++++,,AL East,AL
65,"Thursday, Jun 8",boxscore,TBR,,MIN,W,4,2,,46-19,1,up 6.5,Chirinos,Ober,Adam,2:07,D,12584,.85,++++++,,AL East,AL
66,"Friday, Jun 9",boxscore,TBR,,TEX,W,8,3,,47-19,1,up 6.5,Glasnow,Heaney,,2:20,N,17447,.86,+++++++,,AL East,AL
