Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,W,L,cum_W,cum_L,WL_perc,Dd,DDD
47,"Saturday, May 20",boxscore,OAK,@,HOU,L,2,3,,1937-10-01 00:00:00,5,19,Neris,Lovelady,Pressly,02:35:00,D,35475,0.01,---,,0,1,6,41,12.76595744680851,"['Saturday', ' May 20']",May 20
48,"Sunday, May 21",boxscore,OAK,@,HOU,L,0,2,,1938-10-01 00:00:00,5,20,Valdez,Kaprielian,,02:26:00,D,39820,0.01,----,,0,1,6,42,12.5,"['Sunday', ' May 21']",May 21
49,"Monday, May 22",boxscore,OAK,@,SEA,L,2,11,,1939-10-01 00:00:00,5,20,Castillo,Muller,,02:44:00,N,15418,0.01,-----,,0,1,6,43,12.244897959183673,"['Monday', ' May 22']",May 22
50,"Tuesday, May 23",boxscore,OAK,@,SEA,L,2,3,,1940-10-01 00:00:00,5,21,Gonzales,Medina,Sewald,02:19:00,N,15646,0.01,------,,0,1,6,44,12.0,"['Tuesday', ' May 23']",May 23
51,"Wednesday, May 24",boxscore,OAK,@,SEA,L,1,6,,1941-10-01 00:00:00,5,22,Miller,Waldichuk,,02:39:00,N,14899,0.0,-------,,0,1,6,45,11.76470588235294,"['Wednesday', ' May 24']",May 24
52,"Thursday, May 25",boxscore,OAK,@,SEA,L,2,3,,1942-10-01 00:00:00,5,22.5,Gilbert,Lovelady,Sewald,02:00:00,N,19268,0.0,--------,,0,1,6,46,11.538461538461538,"['Thursday', ' May 25']",May 25
53,"Friday, May 26",boxscore,OAK,,HOU,L,2,5,,1943-10-01 00:00:00,5,23.5,Brown,Kaprielian,Pressly,02:23:00,N,13345,0.0,---------,,0,1,6,47,11.320754716981133,"['Friday', ' May 26']",May 26
54,"Saturday, May 27",boxscore,OAK,,HOU,L,3,6,,1944-10-01 00:00:00,5,24.5,Valdez,Pruitt,Pressly,02:41:00,D,9293,0.0,----------,,0,1,6,48,11.11111111111111,"['Saturday', ' May 27']",May 27
55,"Sunday, May 28",boxscore,OAK,,HOU,L,1,10,,1945-10-01 00:00:00,5,24.5,Javier,Medina,,02:37:00,D,8809,0.0,-----------,,0,1,6,49,10.909090909090908,"['Sunday', ' May 28']",May 28
56,"Monday, May 29",boxscore,OAK,,ATL,W,7,2,,1945-11-01 00:00:00,5,24.5,Erceg,Soroka,,02:31:00,N,8556,0.0,+,,1,0,7,49,12.5,"['Monday', ' May 29']",May 29
57,"Tuesday, May 30",boxscore,OAK,,ATL,W-wo,2,1,,1945-12-01 00:00:00,5,24.5,Fujinami,Iglesias,,02:19:00,N,5116,0.0,++,,0,1,7,50,12.280701754385964,"['Tuesday', ' May 30']",May 30
58,"Wednesday, May 31",boxscore,OAK,,ATL,L,2,4,,1946-12-01 00:00:00,5,24.5,Shuster,Kaprielian,Iglesias,02:19:00,D,6429,0.0,-,,0,1,7,51,12.068965517241379,"['Wednesday', ' May 31']",May 31
59,"Friday, Jun 2",boxscore,OAK,@,MIA,L,0,4,,1947-12-01 00:00:00,5,25.5,Cabrera,Fujinami,,02:18:00,N,8582,0.0,--,,0,1,7,52,11.864406779661017,"['Friday', ' Jun 2']",Jun 2
60,"Saturday, Jun 3",boxscore,OAK,@,MIA,L,1,12,,1948-12-01 00:00:00,5,26.5,Pérez,Medina,Soriano,03:01:00,D,10649,0.0,---,,0,1,7,53,11.666666666666666,"['Saturday', ' Jun 3']",Jun 3
61,"Sunday, Jun 4",boxscore,OAK,@,MIA,L,5,7,,1949-12-01 00:00:00,5,27.5,Scott,Pruitt,Floro,02:36:00,D,12507,0.0,----,,0,1,7,54,11.475409836065573,"['Sunday', ' Jun 4']",Jun 4
62,"Monday, Jun 5",boxscore,OAK,@,PIT,L,4,5,,1950-12-01 00:00:00,5,28.5,Perdomo,Moll,Holderman,03:13:00,N,11566,0.0,-----,,0,1,7,55,11.29032258064516,"['Monday', ' Jun 5']",Jun 5
63,"Tuesday, Jun 6",boxscore,OAK,@,PIT,W,11,2,,13-50,5,28.5,Kaprielian,Keller,,02:46:00,N,13691,0.0,+,,1,0,8,55,12.698412698412698,"['Tuesday', ' Jun 6']",Jun 6
64,"Wednesday, Jun 7",boxscore,OAK,@,PIT,W,9,5,,14-50,5,27.5,Harris,Contreras,May,02:59:00,D,14550,0.0,++,,1,0,9,55,14.0625,"['Wednesday', ' Jun 7']",Jun 7
